worker_id,name,role,tier,primary_protocols,region,heartbeat_ms,feeds_to,receives_from,status,version
gate-node,Protocol Gateway,Protocol Gateway,IV,"PROTO-226,PROTO-002,PROTO-001,PROTO-181,PROTO-006,PROTO-225,PROTO-224,PROTO-223,PROTO-204,PROTO-207",global,873,"knowledge-realm,nova-sovereign,enterprise-os-intelligence","honeypot-admin,honeypot-portal,probe-node",active,1.0.0
knowledge-realm,Memory Core,Memory Core,II,"PROTO-004,PROTO-216,PROTO-009,PROTO-182,PROTO-202,PROTO-203,PROTO-214,PROTO-215,PROTO-208,PROTO-219",global,873,"enterprisentelligence,patient-shape-7a30","gate-node,nova-sovereign",active,1.0.0
nova-sovereign,Nova Protocol Core,Nova Protocol Core,V,"PROTO-227,PROTO-226,PROTO-002,PROTO-183,PROTO-006,PROTO-185,PROTO-001,PROTO-010,PROTO-181,PROTO-207",global,873,"gate-node,enterprise-os-intelligence","gate-node,knowledge-realm",active,1.0.0
enterprise-os-intelligence,OS Intelligence,OS Layer,III,"PROTO-206,PROTO-010,PROTO-224,PROTO-211,PROTO-205,PROTO-204,PROTO-223,PROTO-201,PROTO-209,PROTO-222",global,873,"all_workers","nova-sovereign,workflows-starter-template",active,1.0.0
enterprisentelligence,Intelligence Engine,Intelligence Engine,II,"PROTO-005,PROTO-210,PROTO-203,PROTO-202,PROTO-214,PROTO-215,PROTO-221,PROTO-217,PROTO-213,PROTO-220",global,873,"patient-shape-7a30,workflows-starter-template","knowledge-realm,patient-shape-7a30",active,1.0.0
crimson-dawn-4f6d,Crypto Core,Crypto Core,IV,"PROTO-226,PROTO-002,PROTO-006,PROTO-003,PROTO-207,PROTO-208,PROTO-181,PROTO-223,PROTO-204,PROTO-225",global,873,"gate-node,nova-sovereign","gate-node,nova-sovereign",active,1.0.0
patient-shape-7a30,AI Orchestrator,AI Orchestrator,II,"PROTO-001,PROTO-005,PROTO-215,PROTO-210,PROTO-214,PROTO-218,PROTO-219,PROTO-222,PROTO-213,PROTO-217",global,873,"enterprisentelligence,knowledge-realm","gate-node,enterprisentelligence",active,1.0.0
workflows-starter-template,Orchestration Engine,Orchestration Engine,III,"PROTO-206,PROTO-208,PROTO-223,PROTO-211,PROTO-219,PROTO-184,PROTO-213,PROTO-209,PROTO-207,PROTO-220",global,873,"all_workers","enterprise-os-intelligence,enterprisentelligence",active,1.0.0
honeypot-admin,Honeypot Admin,Honeypot,IV,"PROTO-225,PROTO-181,PROTO-212,PROTO-223,PROTO-208,PROTO-203,PROTO-207,PROTO-216,PROTO-002,PROTO-210",global,873,"gate-node",internet,active,1.0.0
honeypot-portal,Honeypot Portal,Honeypot,IV,"PROTO-225,PROTO-181,PROTO-212,PROTO-223,PROTO-004,PROTO-203,PROTO-207,PROTO-009,PROTO-002,PROTO-217",global,873,"gate-node",internet,active,1.0.0
probe-node,Auto-Probe,Auto-Probe,III,"PROTO-212,PROTO-225,PROTO-213,PROTO-223,PROTO-206,PROTO-007,PROTO-207,PROTO-181,PROTO-209,PROTO-216",global,873,"gate-node",internet,active,1.0.0
vein-of-intelligence,Cognitive Substrate,Durable Objects,I,"PROTO-203,PROTO-216,PROTO-204,PROTO-215,PROTO-219,PROTO-217,PROTO-210,PROTO-214,PROTO-004,PROTO-009",global,873,"knowledge-realm,nova-sovereign,enterprisentelligence","all_ai_agents",active,1.0.0
